Product_ID,Category,Brand,Price,Discount,Rating,Reviews,Shipping_Cost,Days_on_Site,Sales_Forecast
88,Books,Penguin,20,0.1,4.2,400,5,30,150
89,Electronics,Logitech,99,0.05,4.7,1300,18,90,1500
90,Home & Kitchen,Ninja,179,0.1,4.6,1200,15,60,1400
91,Apparel,Forever 21,29,0.05,4.5,700,8,45,500
92,Books,Scholastic,10,0.15,4.3,500,4,30,120
93,Electronics,Microsoft,699,0.05,4.8,1800,20,90,2000
94,Home & Kitchen,Hamilton Beach,99,0.1,4.7,1500,18,60,1700
95,Apparel,Old Navy,39,0.05,4.4,1000,10,45,800
96,Books,HarperCollins,25,0.1,4.3,600,5,30,180
97,Electronics,Beats,199,0.05,4.8,1400,25,90,1600
98,Home & Kitchen,Cuisinart,199,0.1,4.6,1300,20,60,1500
99,Apparel,Zara,59,0.05,4.5,900,12,45,700
100,Books,Houghton Mifflin,18,0.1,4.2,300,4,30,100
101,Electronics,Fitbit,129,0.05,4.7,1500,15,90,1600
102,Home & Kitchen,Breville,279,0.1,4.8,1600,20,60,1800
103,Apparel,H&M,29,0.05,4.6,1000,10,45,700
104,Books,Wiley,30,0.1,4.5,400,4,30,150
105,Electronics,JBL,79,0.05,4.4,1200,18,90,1300
106,Home & Kitchen,Crock-Pot,69,0.1,4.3,1100,12,60,1200
107,Apparel,Forever 21,39,0.05,4.2,800,10,45,600
108,Books,Random Publisher,12,0.1,4.1,200,3,30,80
109,Electronics,Nintendo,299,0.05,4.6,1400,25,90,1600
110,Home & Kitchen,All-Clad,499,0.1,4.7,1800,30,60,2000
111,Apparel,Gap,49,0.05,4.5,1000,12,45,800
112,Books,Wiley,25,0.1,4.4,500,5,30,150
113,Electronics,HP,599,0.05,4.3,1300,20,90,1500
114,Home & Kitchen,Instant Pot,149,0.1,4.2,1200,18,60,1400
115,Apparel,Puma,59,0.05,4.1,900,10,45,700
116,Books,Pearson,22,0.1,4.0,300,4,30,120
117,Electronics,GoPro,399,0.05,4.6,1600,25,90,1800
118,Home & Kitchen,Calphalon,199,0.1,4.5,1400,20,60,1600
119,Apparel,Gap,39,0.05,4.4,1000,12,45,800
120,Books,Wiley,28,0.1,4.3,500,6,30,150
121,Electronics,Fitbit,149,0.05,4.2,900,10,90,1000
122,Home & Kitchen,Breville,299,0.1,4.7,1500,15,60,1600
123,Apparel,Old Navy,29,0.05,4.5,800,10,45,600
124,Books,Random Publisher,12,0.15,4.0,300,3,30,100
125,Electronics,Canon,599,0.05,4.8,1600,25,90,1800
126,Home & Kitchen,Oster,129,0.1,4.5,1100,12,60,1200
127,Apparel,Nike,79,0.05,4.3,800,10,45,600
128,Books,Penguin,20,0.1,4.2,400,5,30,150
129,Electronics,Logitech,99,0.05,4.7,1300,18,90,1500
130,Home & Kitchen,Ninja,179,0.1,4.6,1200,15,60,1400
131,Apparel,Forever 21,29,0.05,4.5,700,8,45,500
132,Books,Scholastic,10,0.15,4.3,500,4,30,120
133,Electronics,Microsoft,699,0.05,4.8,1800,20,90,2000
134,Home & Kitchen,Hamilton Beach,99,0.1,4.7,1500,18,60,1700
135,Apparel,Old Navy,39,0.05,4.4,1000,10,45,800
137,Books,HarperCollins,25,0.1,4.3,600,5,30,180
138,Electronics,Beats,199,0.05,4.8,1400,25,90,1600
139,Home & Kitchen,Cuisinart,199,0.1,4.6,1300,20,60,1500
140,Apparel,Zara,59,0.05,4.5,900,12,45,700
141,Books,Houghton Mifflin,18,0.1,4.2,300,4,30,100
142,Electronics,Fitbit,129,0.05,4.7,1500,15,90,1600
143,Home & Kitchen,Breville,279,0.1,4.8,1600,20,60,1800
144,Apparel,H&M,29,0.05,4.6,1000,10,45,700
145,Books,Wiley,30,0.1,4.5,400,4,30,150
146,Electronics,JBL,79,0.05,4.4,1200,18,90,1300
147,Home & Kitchen,Crock-Pot,69,0.1,4.3,1100,12,60,1200
148,Apparel,Forever 21,39,0.05,4.2,800,10,45,600
149,Books,Random Publisher,12,0.1,4.1,200,3,30,80
150,Electronics,Nintendo,299,0.05,4.6,1400,25,90,1600
151,Home & Kitchen,All-Clad,499,0.1,4.7,1800,30,60,2000
152,Apparel,Gap,49,0.05,4.5,1000,12,45,800
153,Books,Wiley,25,0.1,4.4,500,5,30,150
154,Electronics,HP,599,0.05,4.3,1300,20,90,1500
155,Home & Kitchen,Instant Pot,149,0.1,4.2,1200,18,60,1400
156,Apparel,Puma,59,0.05,4.1,900,10,45,700
157,Books,Pearson,22,0.1,4.0,300,4,30,120
158,Electronics,GoPro,399,0.05,4.6,1600,25,90,1800
159,Home & Kitchen,Calphalon,199,0.1,4.5,1400,20,60,1600
160,Apparel,Gap,39,0.05,4.4,1000,12,45,800
161,Books,Wiley,28,0.1,4.3,500,6,30,150
162,Electronics,Fitbit,149,0.05,4.2,900,10,90,1000
163,Home & Kitchen,Breville,299,0.1,4.7,1500,15,60,1600
164,Apparel,Old Navy,29,0.05,4.5,800,10,45,600
165,Books,Random Publisher,12,0.15,4.0,300,3,30,100
166,Electronics,Canon,599,0.05,4.8,1600,25,90,1800
167,Home & Kitchen,Oster,129,0.1,4.5,1100,12,60,1200
168,Apparel,Nike,79,0.05,4.3,800,10,45,600
169,Books,Penguin,20,0.1,4.2,400,5,30,150
170,Electronics,Logitech,99,0.05,4.7,1300,18,90,1500
171,Home & Kitchen,Ninja,179,0.1,4.6,1200,15,60,1400
172,Apparel,Forever 21,29,0.05,4.5,700,8,45,500
173,Books,Scholastic,10,0.15,4.3,500,4,30,120
174,Electronics,Microsoft,699,0.05,4.8,1800,20,90,2000
175,Home & Kitchen,Hamilton Beach,99,0.1,4.7,1500,18,60,1700
176,Apparel,Old Navy,39,0.05,4.4,1000,10,45,800
177,Books,HarperCollins,25,0.1,4.3,600,5,30,180
178,Electronics,Beats,199,0.05,4.8,1400,25,90,1600
179,Home & Kitchen,Cuisinart,199,0.1,4.6,1300,20,60,1500
180,Apparel,Zara,59,0.05,4.5,900,12,45,700
181,Books,Houghton Mifflin,18,0.1,4.2,300,4,30,100
182,Electronics,Fitbit,129,0.05,4.7,1500,15,90,1600
183,Home & Kitchen,Breville,279,0.1,4.8,1600,20,60,1800
184,Apparel,H&M,29,0.05,4.6,1000,10,45,700
185,Books,Wiley,30,0.1,4.5,400,4,30,150
186,Electronics,JBL,79,0.05,4.4,1200,18,90,1300
187,Home & Kitchen,Crock-Pot,69,0.1,4.3,1100,12,60,1200
188,Apparel,Forever 21,39,0.05,4.2,800,10,45,600
189,Books,Random Publisher,12,0.1,4.1,200,3,30,80
190,Electronics,Nintendo,299,0.05,4.6,1400,25,90,1600









